ClassId,Name,,
0,Speed limit (5km/h),,"Speed limit (5km/h), Speed limit (15km/h), Speed limit (30km/h), Speed limit (40km/h), Speed limit (50km/h), Speed limit (60km/h), Speed limit (70km/h), speed limit (80km/h), Dont Go straight or left, Dont Go straight orRight, Dont Go straight, Dont Go Left, Dont Go Left or Right, Dont Go Right, Dont overtake from Left, No Uturn, No Car, No horn, Speed limit (40km/h), Speed limit (50km/h), Go straight or right, Go straight, Go Left, Go Left or right, Go Right, keep Left, keep Right, Roundabout mandatory, watch out for cars, Horn, Bicycles crossing, Uturn, Road Divider, Traffic signals, Danger Ahead,Zebra Crossing, Bicycles crossing, Children crossing, Dangerous curve to the left, Dangerous curve to the right, Unknown1, Unknown2, Unknown3, Go right or straight, Go left or straight, Unknown4, ZigZag Curve, Train Crossing, Under Construction, Unknown5, Fences, Heavy Vehicle Accidents, Unknown6, Give Way, No stopping, No entry, Unknown7, Unknown8"
1,Speed limit (15km/h),,
2,Speed limit (30km/h),,
3,Speed limit (40km/h),,
4,Speed limit (50km/h),,
5,Speed limit (60km/h),,
6,Speed limit (70km/h),,
7,speed limit (80km/h),,
8,Dont Go straight or left,,
9,Dont Go straight or Right,,
10,Dont Go straight,,
11,Dont Go Left,,
12,Dont Go Left or Right,,
13,Dont Go Right,,
14,Dont overtake from Left,,
15,No Uturn,,
16,No Car,,
17,No horn,,
18,Speed limit (40km/h),,
19,Speed limit (50km/h),,
20,Go straight or right,,
21,Go straight,,
22,Go Left,,
23,Go Left or right,,
24,Go Right,,
25,keep Left,,
26,keep Right,,
27,Roundabout mandatory,,
28,watch out for cars,,
29,Horn,,
30,Bicycles crossing,,
31,Uturn,,
32,Road Divider,,
33,Traffic signals,,
34,Danger Ahead,,
35,Zebra Crossing,,
36,Bicycles crossing,,
37,Children crossing,,
38,Dangerous curve to the left,,
39,Dangerous curve to the right,,
40,Unknown1,,
41,Unknown2,,
42,Unknown3,,
43,Go right or straight,,
44,Go left or straight,,
45,Unknown4,,
46,ZigZag Curve,,
47,Train Crossing,,
48,Under Construction,,
49,Unknown5,,
50,Fences,,
51,Heavy Vehicle Accidents,,
52,Unknown6,,
53,Give Way,,
54,No stopping,,
55,No entry,,
56,Unknown7,,
57,Unknown8,,
